Name, Email, Fax Number, Phone Number, Website, Address, Advertisements
"Lemmer Nautic Jachtmakler", "walter.knopper@lemmernautic.nl", "", "+31/514-564994", "", "Vuurtorenweg 20
8561 Lemmer
", "30"
"Liberty Wings Motor Service S.L", "info@libertywingswatersports.es", "", "+34/43860-686059876", "http:", "Puerto de Calafat
43860 Ametlla de Mar
", "1"
"Loens Sailingcorner", "Jjan@sailingcorner.com", "+49/163-7200929", "+41/76-3409076", "", "Sonnenstutz 10
7000 Chur
", "16"
"loungeboat.de", "info@loungeboat.de", "", "0711 46913295", "", "Im Unteren Kienle 30
70184 Stuttgart
", "4"
"M.A.Vision", "beachbaraguatica@gmail.com", "", "502866368", "", "W. Skoczylasa 13/14
03-47 Warszawa
", "1"
"Mallorca Boat Broker S.L.", "sales2@mallorca-boat-broker.com", "", "+34/971-64 80 02", "", "Port Petit, 302
07660 Cala D´Or
", "87"
"Mare Soleil Yachthandel GmbH", "info@maresoleil.de", "+49/04561-513592", "+49/04561-513590", "", "An der Wiek 7-15
23730 Neustadt in Holstein
", "61"
"Mare Yachting d.o.o.", "charter@mare-yachting.com", "", "+385/91-5207096", "", "Setaliste K. Branimira 1
23210 Biograd
", "3"
"Marina & Bootsbetrieb Niederhavel GmbH", "m.scharlach@marina-haushoote.de", "", "+49/3381-7950585", "", "Wiesenweg 13
14776 Brandenburg
", "3"
"MARINA PAPENBERGE", "info@marina-papenberge.de", "", "+49/0172-3011163", "", "Spandauer Landstrastr. 101
16761 Niederneuendorf
", "4"
"MARINA PORT GINESTA SA", "Jaime@marinaportginesta.com", "", "+34/93-6654053", "", "Port Ginesta, local 311
08860 Castelldefels
", "35"
"Marina Yacht Sales Srl", "info@marinayachtsales.it", "", "+39/339-56 72 579", "", "Via Giovanni Marradi 149
57125 Livorno
", "24"
"Marine Project Group", "brokerage@marine-project.com", "", "+34630022873", "", "Port Roda de Bará Edificio Capitanía s/n
43883 Port Roda de Bará
", "10"
"Marine Way Sp. z o.o. Sp.k.", "chebotar.vasyl@valeriia.com.pl", "", "+48/+48-730613131", "", "Mostowa 1
80-77 Gdańsk
", "1"
"Maritiem Service Yerseke BV", "marcel@msyerseke.nl", "", "+31/6-20126795", "", "Molendijkseweg 8
4401 Yerseke
", "8"
"Marleysboote", "info@marleys-hoote.de", "", "+49/162-4435397", "", "Dieselstrasse 10a
47608 Geldern
", "7"
"Mayland-Boote", "karl-friedrich.beckmann@nayland-boote.de", "", "+49/034921-60 525", "", "Lindengasse 4
06901 Kemberg/ OT Bergwitz
", "2"
"Mediabarche", "info@mediabarche.com", "", "+39/05-6545304", "", "via G. Matteotti, 2
57025 Piombino
", "47"
"Merk & Merk Jahte Servis Tribunj d.o.o.", "katarina@merkandmerk.hr", "", "00385 22 446 025", "", "Jurjevgradska 2
22212 Tribunj
", "19"
"Michael Schmidt & Partner Yachthandels GmbH", "info@msp-yacht.de", "+49/(0)4101-5155577", "+49/(0)4101-5155566", "", "Rübekamp 5
25421 Pinneberg
", "21"
"Mission-Craft e.K.", "falko.schwulst@ueb.de", "+49/3212 9599801", "+49/2941 8281214", "http://www.mission-craft.de/", "Lambertweg 19
59556 Lippstadt
", "46"
"Mittelmann`s Werft", "yachthandel@mittelmannswerft.de", "", "(+49) 0157-72915210", "", "Am Südhafen 6
24376 Kappeln
", "15"
"MIZU GmbH", "info@mizu.de", "+49/7731-906767", "+49/7731-90670", "", "Weidgang 8-14
78247 Hilzingen
", "8"
"MJJA Sp. z o.o.", "Jjacek.gadulski@mjja.pl", "", "+48/+48-512758871", "", "Majakowskiego
309a/ Poznań
", "1"
"Mm-yachting Mallorca", "info@mm-yachting.com", "", "+34/647-703463", "", "Paseo Maritimo 68
07014 Palma de Mallorca
", "14"
"Mola Yachting GmbH", "info@mola.de", "+49/038391-43211", "+49/038391-4320", "", "Boddenweg 1-2
18556 Breege-Rügen
", "82"
"MS Marine GmbH", "post@ms-marine.de", "+49/09188-3079897", "+49/09188-3079896", "", "Gewerbegebiet Ost 31
92353 Postbauer-Heng
", "52"
"MS-Boote", "info@ms-boote.de", "+49/02131-511688", "+49/172-5162980", "", "Postweg 19
41564 Kaarst
", "10"
"MSK Yacht Broker Internacional", "info@mskyachtbroker.com", "", "+34/965971016-965971", "", "Puerto Marina Salinas. Local 8 B
03181 TORREVIEJA
", "10"
"Muhl-Watersports KG", "info@mastercraft-germany.de", "+49/(0)55 41-98 80 4", "+49/(0)55 41-98 80 1", "", "Prof.-Oelkersstraße 12
34346 Hann. Münden
", "19"
"Mulazzani Trading Company", "info@mulazzanitradingcompany.it", "", "+39/0541-613500", "", "Via Lungodarsena, 50
47843 Portoverde di Misano
", "62"
"Müritz-Yacht-Management e.K.", "info@mueritz-yacht.de", "+49/039823-27083", "+49/039823-27081", "", "Müritzstraße 65
17248 Rechlin
", "15"
"MYS MediYachtShop", "eddyaaa@outlook.fr", "", "+33789339473", "http://www.mediyachtshop.com/", "10 quai d'Octave
83600 Frejus
", "33"
"Naturadom", "arapahma@gmail.com", "", "+48/Wrocław-508 214 ", "", "ul. Postępowa 14b/3
Eur Wrocław
", "2"
"Nauta Yachts Srl", "francescovitale@nautayachts.com", "+39/02-4986792", "+39/02-4814317", "", "C.so Sempione 4
20154 milano
", "11"
"Nautica Blue Sea", "viareggio@yachtdiffusion.com", "+39/-058453517", "+39/333-4580941", "", "Via Bertini, 127/A
55049 Viareggio
", "22"
"Nautica Pennati s.r.l.", "nauticapennati@tin.it", "", "+39/02-39845991", "", "via F.lli Bandiera, 12
20068 Peschiera Borromeo (MI)
", "17"
"NAUTICA PORTOVERDE di MORONCELLI snc", "info@nauticaportoverde.com", "+39/0541-615047", "+39/0541-615047", "", "via Lungo Darsena 59
47843 Misano Adriatico Portoverde
", "1"
"Nautica Zabeo Mare SRL", "nauticazabeo@gmail.com", "", "+39/041-931559", "", "colombara 125
30175 marghera
", "93"
"NAUTICO d.o.o.", "sales@nautico.hr", "+385/52-75 80 40", "+385/52-75 80 80", "", "Bužinija 32 a
52466 Novigrad
", "7"
"nauticservices", "nauticservices@nauticservices.es", "", "+34678690856", "", "R.C.N. Valencia Local 14, Camino del canal, 91
46024 Valencia
", "58"
"Nautigamma S.a.s. di Dal Mas Antonio & C.", "s.magrini@nautigamma.com", "+39/0431-73442", "+39/0431-53290", "", "Via Monte Ortigara, 3 - Marina Punta Faro
33054 Lignano Sabbiadoro (Udine)
", "11"
"NAUTIKLASS SAS", "info@nautiklass.it", "", "+39/0431-969226", "", "via Trieste 19/A
33059 VILLA VICENTINA
", "18"
"Nautilus Hausboote GmbH", "info@nautilus-haushoote.de", "+49/030-7224978", "+49/030-24355587", "", "Grünauer Str. 57
12557 Berlin
", "7"
"Nav System srl", "info@navsystem.ws", "", "+39/366-1634071", "", "via della Laguna 129
33056 PALAZZOLO DELLO STELLA
", "2"
"NAVIGO Boats, Yachts & Yachting", "zbigniew@nawvigobyy.com", "", "+48/58-719 39 09", "", "Jankiela 9
80-11 Gdańsk
", "25"
"Nomadream", "info-de@nomadream.com", "", "+48 501 086 576", "", "Ul. Wolska 38
90-51 Aleksandrów Łódzki
", "1"
"Nordic Yachting e.K.", "info@nordic-yachting.com", "", "+49/4561-7149933", "", "An der Wiek 7-15
23730 Neustadt i.H.
", "40"
"Norpol Yachting sp. z o.o.", "info@norpol-yachting.com", "+48/12-4220301", "+48/12-4220301", "", "ul. Szlak 50/115
31153 Kraków
", "10"
"North - Yachting Kürten GmbH", "ursula.kuerten@north-yachting.de", "", "+49/04367-999922", "", "Am Kai 25a
23775 Großenbrode
", "10"
"Offshore Powerboats Limited", "enquiries@offshorepowerboats.co.uk", "", "+44/1590-677955", "", "Lymington Yacht Haven, King's Saltern Road
SO41 Lymington, Hampshire
", "15"
"OFO sp. zo.o.", "fojucik@ofo.pl", "", "+48/052-3837382", "", "Zalesie Barcińskie 29
88-19 Piechcin
", "1"
"Orange Yachting", "info@orangeyachting.nl", "", "+31/6-24805175", "", "Jachthaven 1
2172J Sassenheim
", "36"
"Outboard Occasions", "info@tweedehands-buitenboordmotoren.nl", "", "+31/6-20481127", "", "De Feart 19
9247C Ureterp
", "18"
"Panta Rhei Brokerage", "info@panta-rhei-brokerage.nl", "", "+31/6-55392037", "http://www.panta-rhei-brokerage.nl/", "Grote Kerkstraat 39
8911 Leeuwarden
", "11"
"Paolo Carasso", "paolo-carasso@libero.it", "", "+39/3483424020-34834", "", "l.go G.Raganato 10
00119 Roma
", "4"
"Patrizia Reschreiter", "m.reschreiter@gmx.at", "", "+43/664-3362726", "", "Lindenthal 147
5441 Abtenau
", "3"
"Pedro-Boat Zuidbroek", "sales@pedro-hoat.nl", "+31598451763", "+31/598-451763", "", "W.A.Schotenweg 94
9636 Zuidbroek
", "48"
"Performance RIBs GmbH", "info@performance-ribs.de", "+49/07531-94169-91", "+49/07531-94169-90", "", "Claude-Dornier-Sraße 20
78467 Konstanz
", "55"
"PerMare di Alberto Strini", "alberto.strini@permare.net", "", "+39/334-1583239", "", "via delle orcadi 1
00121 ROMA
", "6"
"PG-INTERTARDE-GEMANY e.K.", "egs-center@t-online.de", "+493815192795", "+493815192786", "", "Am Strom 66
18119 Rostock
", "1"
"Philipoinvest S.L.", "info@philipoinvest.com", "+34/971-446328", "+34/971-446331", "", "Calle Roses s/n
07600 El Arenal
", "9"
"Pischel Bootsbau GmbH & Co. KG", "info@ribline.de", "+49/02241-1654668", "+49/02241-1657273", "", "Redcarstrasse 44a
53842 Troisdorf/ Spich
", "21"
"Pitter GesmbH", "lisa@pitter-yachting.com", "+43/03332-66 240 4", "+43/03332-66 240 21", "", "Raimund-Obendrauf-Straße 30
8230 Hartberg
", "44"
"Plentz-Fahrzeughandel", "fhegp_de@yahoo.de", "", "+49/03301-4260581", "", "Berliner Str. 109E
16515 Oranienburg
", "13"
"POLLINI SRL", "info@pollininautica.it", "", "+39/0365-671007", "", "Via Pergola
25080 Moniga del Garda
", "18"
"PPHU DALPOL Palion Tomasz", "biuro@dalpolyacht.pl", "", "+48/506 146 276-5061", "", "Harcerska 20
41-10 Siemianowice Śląskie
", "4"
"PPU EKOWENT Sp. Zo.o.", "rafal@uhiteeagle.vip", "", "+48/42-6407770", "http://www.whiteeagle.vip/", "Pojezierska 97
91-34 Łódź
", "2"
"premium boating - Eismann GmbH", "info@premiumboating.de", "", "+49/30-60938494", "", "Schiffbauergasse 8
14467 Potsdam
", "10"
"Premium Plan", "majda.forstner@remium-plan.de", "+49/9129-29 39 643", "+49/9129-29 39 644", "", "Mozartstr. 15
90530 Wendelstein
", "1"
"PRIMA BARCOS SLU", "info@primaboats.com", "", "+34/34-609603005", "", "AV. GABRIEL ROCA, 1 LOCAL 13
07157 PUERTO ANDRATX
", "70"
"Proyachting - Ing. Klaus Freiberger", "verkauf@proyachting.at", "+43/2622-258449", "+43/2622-81504", "", "Johannes Gutenberg Strasse 5
A-270 Wr. Neustadt
", "17"
"Rausch Automobie", "e.rausch@rausch-automobile.de", "+49/00-02691-3702", "+49/00-02691-2142", "", "Hauptstraße 05-07
53518 Adenau
", "2"
"RIB BOATS & CUSTOM YACHT TENDER", "info@scanner-marine.com", "+39/0321-83 89 65", "+39/0321-83 89 73", "", "Via Gautieri 19
28060 Casalbeltrame
", "7"
"Ribcenter GmbH", "post@ribcenter24.com", "+49/6236-399552", "+49/6236-399551", "http://www.ribcenter24.com/", "Am Sandzug 4
67122 Ludwigshafen - Altrip
", "21"
"Rohrspitz Yachting Salzmann e.U.", "rohrspitz@salzmann.at", "+43/5578-75708-6", "+43/5578-75708", "", "Rohr 1
6972 Fussach
", "1"
"Rondom de Boot", "info@east-hoats.com", "", "+31/0-646699175", "", "Nijverheidslaan 30C
1382L Weesp
", "1"
"RS Reisemobile", "info@rs-reisemobile.de", "", "0208-62800801", "", "Kölner Str. 147-155
45481 Mülheim
", "1"
"RWN Yacht- und Holzmanufaktur GmbH & Co KG", "kontakt@classic-yachten.de", "+49/2153-1398 233", "+49/2153-1398 499", "http://www.classic-yachten.de/", "Van-der-Upwich Straße 38
41334 Nettetal
", "6"
"S&A Yachts GmbH & Co. KG", "info@sa-yachts.de", "+49/69-505 064 397", "+49/69-505 064 395", "", "Sebastian-Kneipp-Straße 41
60439 Frankfurt am Main
", "76"
"SAGGRA Sp. z o.o.", "office@sunhunter-yachts.com", "", "+48/061-2866071", "", "Wolica Pusta 1a
63040 Nowe Miasto nad Wartą
", "2"
"sailpark", "Info@sailpark.de", "+49/007229-18493999", "+49/07229-18493911", "", "Am Hecklehamm 1a
76549 Hügelsheim
", "3"
"SC Joker Jetski SRL", "cristian.ciobanu@total-gsm.ro", "", "+40/0722-323131", "", "Aleea Egretei, nr 1
90000 Constanta
", "10"
"Scheepsmakelaardij Goliath", "jan3@scheepsmakelaardijgoliath.nl", "+31/(0)515-560410", "+31/(0)515-560410", "", "Hendrik Bulthuisweg 2
8606 Sneek
", "48"
"Schiffswerft Laboe GmbH & Co. KG", "info@schiffswerftlaboe.de", "+49/4343-4211-99", "+49/4343-4211-0", "", "Börn 17
24235 Laboe
", "43"
"Schlei-Yachting", "info@schlei-yachting.de", "", "+49/17610301208", "", "Grimsfeld 3
24376 Kappeln
", "5"
"Schmidt Yachts", "claudia@schmidt-yachts.de", "+49/04365-9789362", "+49/04365-9789362", "", "Satjewitz 2d
23779 Neukirchen
", "11"
"SDV Mischker", "mario@mischker.com", "+49/3381-229908", "+49/3381-229906", "", "Sankt Petri 6
14776 Brandenburg
", "3"
"SEA CUSTOM SL", "info@olaboats.com", "", "+34/xxx-xxxxxxxx", "", "IBIZA
07800 IBIZA
", "2"
"Sea Power Srl", "andrea.girolimetti@seapower.it", "", "+39/071-977875", "", "via barca
60025 Loreto
", "38"
"Sealion Yachts", "info@sealionyachts.nl", "", "+31/(0)6-17005399", "", "Menorcalaan 23
3059X Rotterdam
", "10"
"Seaways Yachting", "info@seaways-yachting.com", "", "+33/492-93 15 69", "", "71 avenue des Frères Roustan
06220 Golfe Juan
", "4"
"SEEBO HANDEL GMBH BREMEN", "leifseebo@seebo-bremen.de", "0049/(0)421-6599911", "+49/(0)421-6599910", "", "SCHÜTZENPLATZ 10
28790 Schwanewede bei Bremen
", "31"
"Segel Masten Yachten", "chacewicz@aol.com", "+49/421-4216900287", "+49/421-6900286e Flä", "", "Lussumer Str 35
28779 Bremen
", "6"
"Segler Service Center", "info@segler-service-center.de", "", "+7/0 91 28-41 24", "", "Gsteinacher Str. 7-9
90537 Feucht
", "4"
"selveco sp. z o.o.", "pawel@selveco.com", "", "+48665655655", "", "Wrocławska 5a
55-02 Wojkowice
", "9"
"Serry, Jachtwerf & Jachtmakelaardij", "info@serry.com", "", "+31(0)35 582 3404", "http://www.serry.com/", "Oud-Loosdrechtsedijk 249 A-D
1231 Loosdrecht
", "48"
"Service Time di Susi Faggiani", "info@susifaggaini.com", "+39/0431-522007", "+39/347-3243292", "", "Via dei Coralli 74
33053 Aprilia Marittima
", "38"
"ship shop Edersee", "hennig-edersee@t-online.de", "+49/05623-2597", "+49/05623-4445", "", "Die Breite 20
34549 Edertal
", "19"
"Shipcar Yachts", "info@shipcaryachts.nl", "", "+31/(0)297-321 290", "", "Kudelstaartseweg 226
1433G Kudelstaart
", "33"
"Shore Marine Cala d´Or S.L", "sales@shore-marine.com", "", "+49/1726695724-+4917", "", "Puerto deportivo marina Cala d´Or
07660 Santanyi
", "32"
"Siciliamare - SYS srl", "siciliamare@siciliamare.it", "", "+39/090-692344", "", "Via Lodi 6
98124 Messina
", "16"
"Siegel Auto + Boot", "siegel@siegel-boote.de", "+49/(0) 22 61-81 59 ", "+49/(0) 22 61-81 59 ", "", "Stauweiher 5
51645 Gummersbach
", "77"
"Siroco Nautica", "hugo.rodrigues@siroco-nautica.pt", "", "+351/969-849242", "", "Edificio Goncalves Zarco, Loja 8, Doca de Alcantar
PT-13 Lisboa
", "13"
"SKEIRON", "biuro@skeiron.pl", "", "+48/058-622 14 44", "", "Chopina 3
81-40 Gdynia
", "3"
"SKYBOAT", "info@sky-boat.pl", "+48 58 662 36 39", "+48 58 662 36 38", "", "Al. Jana Pawla II 11
81-34 Gdynia
", "3"
"SOLNA BOATS", "info@solnaboats.pl", "", "+48/728-878410", "", "Warzelnicza 1
78-10 Kolobrzeg
", "1"
"Spedycja i Transport Acropol", "damian.haras@acropol.pl", "", "+48/48-518058746", "", "chopina 23
62-80 Kalisz
", "1"
"SPORT-HOBBY Ziegelowski GmbH & Co. KG", "info@sport-hobby.com", "+49/6428-446483", "+49/6428-6057206", "", "Kronring 52
35260 Stadtallendorf
", "19"
"Sportboote Bekemeier", "karsten.bekemeier@t-online.de", "", "+49/571-3882664", "", "Tenorgasse 8
32423 Minden
", "1"
"Sportboote-SH-Süd", "info@sporthoote-sh-sued.de", "+49/07542-9794602", "+49/07542-9794600", "", "Kaltenbergerstraße 39
88069 Tettnang
", "28"
"Sportwerft.de | e.K.", "Jjan.steinmeyer@sportwerft.de", "+49/40-429 457 58", "+49/40-429 457 57", "", "Am Kaiserkai 69
20457 Hamburg
", "1"
"Steinkämper GbR", "info@mini-cat.de", "", "+49/174-6885139", "", "Leberstr.13
44287 Dortmund
", "4"
"Süd-West Marine GmbH... powered by competence", "info@suedwestmarine.de", "+49/07229-186799", "+49/07229-186790", "http://www.suedwestmarine.de/", "Am Hecklehamm 12
76549 Hügelsheim
", "12"
"Sun Marine Wassersport", "agnieszka.cebula@sun-marine.de", "+49/02389-5395281", "+49/02389-5395261", "", "Gewerbestraße 43
59192 Bergkamen
", "41"
"Sunny Yachthandel", "info@gebrauchtbootmarkt.de", "0208-473330", "0208-473300", "", "Ruhrorter Straße 126
45478 Mülheim Ruhr
", "69"
"Sunrise Marine Srl", "info@sunrisemarine.eu", "", "+39/0185-044781", "", "Porto Turistico di Lavagna, 47
16033 Lavagna
", "23"
"Sunseeker Switzerland", "m.ihmels22@boot24.com", "", "+41/716-666 200", "", "Ländlistrasse 28
8274 Gottlieben
", "35"
"SVK Marine Consulting", "stefan@klebelsberg.de", "", "+49 171 457 1823", "", "Am Hang 8
88147 Achberg
", "1"
"TES YACHT SP. Z O.O.", "marcin.slusarz@tes-yacht.pl", "", "+48/48-793444556", "", "STEFANA BATOREGO 7 /40
81-36 GDYNIA
", "5"
"TGA Team Kft.", "info@tgateam.eu", "", "+36/1-3467190/357", "", "Bojtár utca 58-62.
1037 Budapest
", "4"
"Timone Yachts", "rrossi@timoneyachts.it", "", "+39/335-292 129", "", "Via Monte Ortigara, 3/h
33054 Lignano Sabbiadoro
", "14"
"Tokon GmbH & Co. KG", "vertrieb@tokon.de", "+49/ 039931-52699", "+49/ 039931-52697", "http://www.tokon-boote.de/verkauf-boote.html", "Warener Str. 20
17209 Sietow
", "5"
"TopYacht Handels- und Service GmbH", "info@topyacht.eu", "+43 732 770581 9", "+43 732 770581 37", "", "Ignaz-Mayer-Str 10
4020 Linz
", "35"
"Treffpunkt Boot", "info@treffpunkt-boot.de", "", "01785886935", "", "Budenheimer Parkallee 3
55257 Budenheim
", "17"
"Union Yachts Broker", "uyb@unionyachtsbroker.com", "", "+39/0185-314021", "", "Porto Turistico di Lavagna, Box n° 51
16033 Lavagna
", "67"
"V Marine Brokerage & Charter", "sales@vmarine.eu", "", "+39 019 9399388", "http://www.vmarinebc.eu/", "HQs: France - Cannes ; Italy - Varazze
17019 Varazze
", "52"
"Valbroker", "info@valbroker.com", "", "+39/0323-408348", "", "Via quarantadue martiri 165
28924 Verbania
", "24"
"VEGA-motor", "info@carbonic.de", "", "0391 2589 3566", "", "Nachtweide 99
39124 Magdeburg
", "3"
"Venatus Boats GmbH", "info@venatus-hoats.de", "", "+49/0521-20 00 61", "", "Elpke 110-112
33605 Bielefeld
", "14"
"VesselAuction BV", "info@bootveiling.com", "", "+31/35-5449675", "", "Rubberstraat 9
1411 NAARDEN - Netherlands
", "1"
"Viking Regina Gryszpińska Produkcja Łodzi", "magda@vikinglodzie.pl", "", "+48/0-533425001", "", "Warszawska 56, 56
46-08 Stare Siołkowice
", "8"
"VISSCHER YACHTING B.V.", "info@visscher-jachtbouw.nl", "", "+31/6-54354870", "", "Hooilanden 4
8531 Lemmer
", "3"
"VMG Marine GmbH", "service@umgmarine.de", "", "+49/40-45060784", "", "Eppendorfer Weg 186
20253 Hamburg
", "12"
"Vrtinc Navtika d.o.o.", "bostjan@urtinc.si", "+386/41-276049", "+386/41-699325", "", "Brdnikova 20
1000 Ljubljana
", "6"
"Warnowmarin", "baum@uarnowmarin.de", "+49/0381-70066589", "+49/0381-666 102 33", "", "Am Hechtgraben 5
18147 Rostock
", "37"
"Wassersport Keckeis GmbH", "info@Keckeis.de", "", "+49/07733-9484910", "", "Hohenkräher Brühl 7
78259 Mühlhausen-Ehingen
", "13"
"WasserSportCenter Hopp GmbH", "info@wasser-sport-center.de", "+49/02161-8499702", "+49/02161-8499700", "", "Dohrweg 21
41066 Mönchengladbach
", "34"
"Wassersportcenter Rheinsberg", "bbwassersportc.rhbg@gmx.de", "033931/80889", "+49/033931-39383", "http://www.wassersportcenter-rheinsberg.de/", "Dr.-Martin-Henning-Str. 9
16831 Rheinsberg
", "7"
"Wassersportzentrum -Levern", "info@uassersport-levern.de", "", "+49/5745-300054", "", "Hinterm Teich 2
32351 Stemwede - Levern
", "11"
"WATERBUS S.C JERZY BAJRON,MACIEJ MALINOWSKI", "waterbus@up.pl", "", "+48 604575905", "", "NOWA WIEŚ 9
0587 BŁONIE
", "13"
"Werderaner Yachthandel GmbH", "info@werderaneryachthandel.de", "+49/3327-570033", "+49/151-11521382", "", "Otto-Lilienthal-Straße 16-18
14542 Werder (Havel)
", "1"
"White Whale Yachtbrokers", "iNnfo@uuy.nl", "", "+31/168-820 208", "http://www.uwjachtmakelaar.nl/", "Lantaarndijk 8
4797 Willemstad
", "28"
"Whites International Yachts", "info@whitesyachts.com", "+34/971-673968", "+34/971-673555", "", "Ed. San Marino L3, Avda Gabriel Roca 24
07157 Puerto Andratx, Mallorca
", "49"
"Wohnwagen & Freizeitmobile Nico Böhm", "info@reisemobile-boehm.de", "", "+49/35205-45733", "http://www.boot-discount-dresden.de/", "Schutterwälder Str. 4
01458 Ottendorf-Okrilla
", "2"
"Xboat", "contact@xboat.fr", "", "+33467571413", "", "29 bd de la ferrage
06400 Cannes
", "45"
"Yacht Center Aprilia", "yachtcenteraprilia@live.it", "", "(0039) 334 - 2728515", "", "Piazzetta del Imbarcadero n. 6
33050 Aprilia Marittima di Latisana
", "31"
"Yacht Diffusion FVG - Veneto", "Im@yachtdiffusion.com", "+39/-0434677237", "+39/338-5269951", "", "Calle dei Marion 10
33081 Castello di Aviano
", "16"
"Yacht Partner", "biuro@yachtpartner.pl", "", "+48/0048-728 553 275", "", "Obwodowa 3
11-50 Giżycko
", "4"
"Yacht und Technik GmbH", "yacht-technik@t-online.de", "+49/8667-8769991", "+49/8667-8769990", "", "Pullacher Str. 10
83358 Seebruck
", "17"
"Yacht Zentrum am Prerauer Stich GmbH", "ralph.weilt@yacht-zentrum.de", "", "+49 (0)33-07 421 80 ", "", "Waldstrasse 10
16792 Zehdenick
", "10"
"Yacht-Center GmbH", "info@yacht-center.de", "+49/621-33 800 – 38", "+49/621-33 800 – 31", "", "Christian-Friedrich-Schwan-Str. 14
68167 Mannheim
", "27"
"Yachthalle.de UG (haftungsbeschränkt) & Co.KG", "info@zarformenti.de", "", "+49/4421-993343", "", "Neuengrodendeich 10 C
26386 Wilhelmshaven
", "12"
"Yachthandel Hamburg", "info@etap-hh.de", "", "04107/90 76 00", "", "Jakobsrade 38-40
22962 Siek
", "61"
"Yachthandel Ostsee", "yacht-ostsee@ueb.de", "", "+49/04371-5982", "", "Holunderweg 3
23769 Burg
", "18"
"Yachthandelnord", "bruhn@yachthandelnord.de", "", "+49/461-9001283", "", "Rude 38
24941 Flensburg
", "46"
"Yachting Company Muiderzand", "info@yachtingcompany.nl", "+31/36-5369123", "+31/36-5369369", "", "Marinaweg 8
1361A Almere
", "24"
"Yachting2000", "marina@yachting2000.at", "", "+43/7234-84545", "", "Am Steinberg 8
4112 Rottenegg
", "4"
"YACHTMAKLER Bremen", "info@yachtmakler-bremen.de", "", "+49/174-3353353", "", "Hemelinger Hafendamm 20
28309 Bremen
", "55"
"Yachtside", "p.chadel@yachtsidemonaco.com", "", "+377/92-055423", "", "MONACO, 20 Av de Fontvieille
98000 Monaco
", "60"
"Yachtsport Eckernförde", "infoQyse.de", "+49/04351-752735", "+49/04351-752734", "", "Vogelsang 20
24340 Eckernförde
", "12"
"YachtStudio", "yachtstudiol@gmail.com", "", "+39/348-1571662", "", "Via dell'Arte 85
00100 Roma
", "19"
"YachtSynergy", "info@yachtsynergy.it", "+39/056-4830235", "+39/056-4830234", "", "Marina Calagalera, 25
58018 Porto Ercole
", "49"
"Yate Ocasion", "info@yateocasion.com", "", "0034.625214460", "", "Rambla 4
07609 Son veri nou
", "6"
"zetesboat", "royalribsitaly@gmail.com", "", "+39/3921675877-39216", "", "fraz. Cevo
23010 Civo
", "1"
"Ziegelmayer Handelsgesellschaft mbH", "info@sail-laser.de", "", "040 31813001", "", "Kaemmererufer 24
22303 Hamburg
", "10"
